Prop_ID,Name,Location,Num_of_Courts,Accessible,lat,lon
X104,Williamsbridge Oval,"Van Cortlandt Ave. E, Bainbridge Ave. and Reservoir Oval",,N,40.8768,-73.8776
X217,Willis Playground,Willis Ave. & E 141 St.,,N,40.8107,-73.9236
B297,Albemarle Playground,"Albermarle Rd., Dahill Rd. and McDonald Ave.",,N,40.646,-73.9808
B253,Albert J. Parham Playground,Franklin Ave. between Willoughby and DeKalb Aves.,,N,40.6905,-73.9709
B253,Albert Lysander Parham Playground,"Adelphi St., Clermont, DeKalb and Willoughby Aves.",,N,40.6905,-73.9709
B193,Alex Hamilton-Metz Memorial Field,"Albany, East New York and Lefferts Aves.",,N,40.6626,-73.9405
B329,Alex Lindower Park,Mill & Strickland Aves.,,Y,40.6131,-73.912
B001,American Playground,"Noble, Franklin & Milton Sts.",,N,40.729,-73.9578
B287,Andries Playground,Ave. K & Nostrand Ave.,,N,40.623,-73.9464
B140,Banneker Playground,"Marcy Ave., Kosciusko St. and Lafayette Ave.",,N,40.6903,-73.9494
B286,Bartlett Playground,Bartlett St. & Throop Ave.,,N,40.7012,-73.946
B164,Bath Beach Playground,Shore Pkwy. & 17 Ave.,,N,40.6024,-74.0107
B349,Bath Playground,Bath Ave. between 24 Ave. and Bay 37 St.,,N,40.5946,-73.9936
B274,Bay View Houses & PS 272,S/JS Seaview Ave. Opposite E 99 St.,,N,40.6348,-73.8871
B100,Bealin Square & Seth Low Playground,"Ave. P., Bay Pkwy. and W 12 St.",,N,40.6079,-73.9859
B142,Bedford Playground,"Bedford Ave., S 9 St. and Division Ave.",,N,40.7084,-73.9637
B283,Belmont Playground,"Pitkin Ave., Drew St., Belmont Ave., and N Conduit Ave.",,N,40.6757,-73.8629
B277,Benson Playground,Bath Ave. between Bay 22 and Bay 23 Sts.,,N,40.6027,-74.0025
B007,Bensonhurst Park,"Gravesend Bay, 21 Ave., Cropsey Ave. and Bay Pkwy.",,Y,40.5977,-74.0011
B353,Bergen Beach Park,"Ave. T, Ave. N, E 71 St. and E 72 St.",,N,40.6226,-73.9095
B154,Berry Playground,"S 3 St., Berry St. and Bedford Ave.",,N,40.7126,-73.9637
B008,Betsy Head Memorial Playground,"Livonia Ave., Dumont Ave., Hopkinson Ave., Blake Ave. and Strauss St.",,N,40.6643,-73.9119
B335,Bildersee Playground,Flatlands Ave. between E 81 and E 82 St.,,N,40.6354,-73.9117
B223J03,Bridge Park,"E/S Jay St., Prospect St., Sands St. and Charles St.",,N,,
B169A,Brighton Playground,W/S Brighton 2 Sts. At Boardwalk,,N,40.5751,-73.9657
B162,Brizzi Playground,42 St. & 10 to New Utrecht Aves.,,N,40.6424,-73.9947
B012,Brower Park & PS 189,"Brooklyn Ave., St. Mark's Ave., Kingston Ave. and Strauss St.",,N,40.6735,-73.9442
B270,Brownsville Rec. Center & Playground,Linden Blvd. and Christopher Ave.,,N,40.6568,-73.9014
B310,Bushwick Playground,"Knickerbocker Ave., Putnam Ave. and Woodbine St.",,N,40.7018,-73.9394
